Entity,Code,Year,GDP per Capita,Region,Population,Outdoor air pollution,High systolic blood pressure,Diet high in sodium,Diet low in whole grains,Alcohol use,Diet low in fruits,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Household air pollution from solid fuels,Diet low in vegetables,Low physical activity,Smoking,High fasting plasma glucose,Air pollution,High body-mass index,Unsafe sanitation,No access to handwashing facility,Drug use,Low bone mineral density,Vitamin A deficiency,Child stunting,Discontinued breastfeeding,Non-exclusive breastfeeding,Iron deficiency
Eritrea,ERI,2019,343,Africa,3497117,1424,3957,698,485,1345,555,3621,372,2788,3369,1813,152,3936,494,65,1465,2416,5336,1686,2708,2388,80,170,72,449,21,249,175
Estonia,EST,2019,23660,Europe,1325648,167,5418,197,789,1194,302,1,204,8,2,88,364,40,188,336,2196,1369,207,3026,0,4,223,54,0,0,0,0,0
Eswatini,SWZ,2019,3837,Africa,1148130,354,1128,74,107,620,150,396,87,381,294,3069,17,482,104,93,362,1203,832,1280,270,238,116,34,5,43,6,70,5
Ethiopia,ETH,2019,858,Africa,112078730,9657,41734,7993,6495,19602,7703,43174,1788,63958,39224,25418,3192,67827,4871,827,8123,25738,77020,14961,33702,27583,1191,2368,1344,6319,258,3635,1455
Fiji,FJI,2019,6220,Oceania,889953,331,1833,274,416,107,353,68,344,117,66,98,14,302,166,266,924,2740,634,2352,29,11,31,17,0,3,1,5,2
Finland,FIN,2019,48686,Europe,5532156,415,13799,997,2617,2634,1046,1,402,27,6,120,1038,2,861,1604,6763,9075,417,5581,1,9,638,744,0,0,0,0,0
France,FRA,2019,40494,Europe,65129728,14378,89170,6307,18559,42156,7900,88,4054,708,4600,2328,3557,37,4676,14767,80348,40295,14334,46898,36,262,5246,9997,0,1,1,6,4
Gabon,GAB,2019,7667,Africa,2172579,828,1805,138,182,897,51,192,117,476,152,1121,5,69,148,113,524,1420,895,1309,127,185,44,72,1,12,4,30,21
Gambia,GMB,2019,751,Africa,2347706,504,1801,150,209,508,260,460,224,999,428,1066,4,1493,176,74,611,982,1987,855,322,443,44,64,11,44,3,39,75
Georgia,GEO,2019,4769,Asia,3996765,3211,18802,2490,3770,2259,1462,7,1578,162,26,241,1039,1594,759,936,7172,10104,4787,8568,6,26,304,187,0,3,0,5,3
Germany,DEU,2019,46259,Europe,83517045,29401,224494,15941,33593,76279,12908,106,8062,892,630,3020,4569,30,9889,20216,143642,150713,29252,106143,51,314,5329,9281,0,1,1,5,3
Ghana,GHA,2019,2202,Africa,28833629,12869,26843,3379,3438,10154,915,5599,1232,11547,6066,14995,54,11065,2126,1275,5477,17728,23792,17781,3754,5757,606,874,135,518,29,591,356
Greece,GRC,2019,19583,Europe,10473455,6226,29056,2359,7431,3958,678,1,2616,125,10,358,567,41,279,2589,26258,15954,6219,13080,1,61,344,567,0,0,0,2,0
