Entity,Code,Year,GDP per Capita,Region,Population,Outdoor air pollution,High systolic blood pressure,Diet high in sodium,Diet low in whole grains,Alcohol use,Diet low in fruits,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Household air pollution from solid fuels,Diet low in vegetables,Low physical activity,Smoking,High fasting plasma glucose,Air pollution,High body-mass index,Unsafe sanitation,No access to handwashing facility,Drug use,Low bone mineral density,Vitamin A deficiency,Child stunting,Discontinued breastfeeding,Non-exclusive breastfeeding,Iron deficiency
South Korea,KOR,2019,31762,Asia,51225308,23391,37142,12252,5985,26892,4410,138,4045,419,135,1421,1485,15,1199,5401,51575,39832,23115,19333,25,323,2212,3658,0,1,1,3,5
South Sudan,SSD,2019,275,Africa,11062113,1441,4697,751,494,575,391,5997,523,7895,8535,4456,50,7678,448,83,1919,2689,9088,2434,4554,4050,103,175,138,1137,22,999,151
Spain,ESP,2019,29614,Europe,46736776,11774,72106,2913,12753,19330,2332,52,5658,359,312,1763,1756,178,2142,9783,66331,54535,11785,42038,13,166,1724,2789,0,0,0,5,1
Sri Lanka,LKA,2019,3853,Asia,21323733,7538,29938,6051,4224,7296,3857,748,3027,862,262,547,121,6643,2353,1784,11071,31714,14114,15936,376,317,204,1302,1,13,0,7,14
Sudan,SDN,2019,442,Africa,42813238,17006,50501,1730,11581,494,3394,5480,4568,18959,7161,3619,4042,11310,3107,8856,16147,26177,28163,24442,4181,3003,2167,922,156,992,50,1113,451
Suriname,SUR,2019,6855,Americas,581372,261,829,74,126,214,74,29,95,113,27,132,6,47,75,110,451,845,308,657,10,21,14,23,0,1,0,5,2
Sweden,SWE,2019,51610,Europe,10036379,757,19501,1495,4105,4340,1225,19,739,81,110,299,702,3,1155,1988,13692,11975,758,8795,11,40,734,1233,0,0,0,1,0
Switzerland,CHE,2019,81994,Europe,8591365,1621,12571,978,2680,3938,795,5,677,117,78,233,313,1,715,1809,10216,7841,1608,6129,2,23,618,1268,0,0,0,1,0
Taiwan,TWN,2019,24828,Asia,23773876,12127,25695,5005,5035,11192,1417,35,5030,252,135,1145,185,492,668,3114,26645,26122,12527,14957,9,241,2258,1421,0,1,0,3,2
Tajikistan,TJK,2019,871,Asia,9321018,4890,13064,1649,3512,1732,1568,550,1364,2020,1761,181,1605,2607,230,484,4634,8016,7455,4665,465,322,436,85,12,281,15,308,10
Tanzania,TZA,2019,1122,Africa,58005463,6427,38944,8061,2933,19290,2949,13203,3616,32244,18614,26737,77,39165,3144,641,17914,18757,45491,17605,9496,12545,2019,1261,305,3437,46,1412,1233
Thailand,THA,2019,7808,Asia,69037513,33772,69032,14894,8064,39223,4329,5010,9435,1369,1248,17611,146,7450,6467,5213,62859,65179,40878,43873,260,3043,10674,3784,2,42,5,70,31
Togo,TGO,2019,676,Africa,8082366,1699,5729,503,699,1568,896,5038,512,4209,3907,3525,19,5060,630,223,2292,2394,6713,2618,3545,2823,146,186,145,488,40,631,123
Tonga,TON,2019,4862,Oceania,110940,21,116,20,24,9,16,2,26,9,6,9,2,31,13,17,100,159,52,116,1,1,8,3,0,0,0,0,0
Trinidad and Tobago,TTO,2019,17276,Americas,1394973,891,2697,209,586,399,323,17,285,113,32,270,19,1,220,580,1028,3448,892,2611,4,21,30,42,0,0,0,3,1
Tunisia,TUN,2019,3318,Africa,11694719,7553,19680,692,5281,723,795,76,2405,738,79,268,428,21,339,1605,10859,14656,7530,12000,27,115,393,473,0,7,0,15,7
Turkey,TUR,2019,9042,Asia,83429615,44457,109162,2670,28866,3941,1359,469,14606,5769,1105,1375,1087,236,320,16158,86170,72369,44166,80118,108,924,1309,3178,3,48,8,77,40
Turkmenistan,TKM,2019,7816,Asia,5942089,3608,11339,1354,3032,2349,748,47,1476,766,556,213,1695,5,58,590,4044,4701,3608,6872,36,64,545,37,0,56,1,73,9
Tuvalu,TUV,2019,4059,Oceania,11646,2,25,4,5,1,4,1,5,1,1,2,0,2,3,3,17,28,4,19,0,0,1,0,0,0,0,0,0
Uganda,UGA,2019,777,Africa,44269594,4808,18453,2932,1877,15356,523,9199,1224,24873,11049,20001,68,23001,1970,328,6273,12290,27677,8393,6882,7145,141,864,383,1903,73,831,403
Ukraine,UKR,2019,3659,Europe,43993638,43458,237926,13637,66765,44744,25488,44,16078,835,168,5480,29883,2728,5983,12349,113389,70344,46129,116655,31,272,9361,1602,0,19,1,22,9
United Arab Emirates,ARE,2019,43103,Asia,9770529,3401,5983,293,1470,553,323,26,937,65,7,150,26,0,293,1120,3726,4276,3361,7623,1,27,1008,367,0,1,0,1,2
United Kingdom,GBR,2019,42300,Europe,67530172,15050,87762,6668,20849,25242,10067,40,8277,1339,162,1956,11140,12,5936,14335,119777,75454,15026,56216,8,444,5014,4962,0,2,1,11,4
United States,USA,2019,65281,Americas,329064917,60572,495201,48501,102247,136663,40172,382,35583,9606,5898,14354,11029,150,27977,37147,527736,439379,60229,393859,682,987,104736,27681,0,14,5,75,114
Uruguay,URY,2019,16190,Americas,3461734,769,5527,751,1183,1689,396,57,789,122,119,362,401,53,407,428,4864,3283,820,3222,7,42,243,246,0,2,0,3,1
Uzbekistan,UZB,2019,1725,Asia,32981716,26991,62465,7416,20155,9562,5139,86,6078,4293,3462,1353,9943,3164,228,2810,22193,41043,30096,39317,89,500,3042,452,1,421,2,737,42
Vanuatu,VUT,2019,3058,Oceania,299882,55,596,86,103,46,53,56,64,57,36,29,9,361,66,24,247,432,416,333,40,22,17,8,1,5,0,4,2
Venezuela,VEN,2019,2548,Americas,28515829,12556,43139,6543,5686,8621,2590,773,3753,2863,1072,4133,4257,88,3171,1221,16769,35108,12617,26819,292,447,499,1147,3,66,13,168,63
Vietnam,VNM,2019,2715,Asia,96462106,38776,158375,32155,11915,52984,15136,1251,19085,5286,1537,7521,769,33247,6123,5556,97074,106478,71701,37981,605,2053,9605,8390,7,239,2,246,30
Yemen,YEM,2019,943,Asia,29161922,11598,30564,1241,9048,861,3610,5351,4467,17173,7456,552,3694,9709,3622,3670,17306,14467,21184,11780,3394,2198,563,923,203,1316,151,1985,498
Zambia,ZMB,2019,1291,Africa,17861030,3048,10340,1828,873,6870,2056,5915,919,8286,6364,19582,71,8822,1201,329,4673,6353,11826,6074,4133,3975,394,398,113,1089,44,739,177
Zimbabwe,ZWE,2019,1464,Africa,14645468,2680,12241,1140,1475,5156,1960,3914,1646,7946,5801,19025,256,10019,1382,345,8838,9797,12667,6475,2531,4113,963,438,81,585,16,631,259
